original, substitute
AERO BLUE,	BLÅ
AERO PINK,	ROSA
Above Ocean,	BLÅ
Abstract Dot Blue,	BLÅ
Abstract Dot Mustard,	Gul
Abstract Dot Sand,	Gul
Adobe,	Brun
Adobe rose,	ROSA
Adventsbok,	Flerfärgat
Aero Club,	Flerfärgat
Agave Green,	Grön
Ailes de Papillon,	Orange
Air Black,	Svart
Air France,	BLÅ
Air Silver,	Grå
Airplane,	BLÅ
Aktivitetsbok,	Flerfärgat
Alfons,	Brun
All Black,	Svart
All Navy,	BLÅ
All Together,	ROSA
Almond Beige,	Brun
Alpaca,	ROSA
Aluminum,	Svart
Amalfi,	BLÅ
Amber Gold,	Guld
Amparo Blue,	BLÅ
Amparo blue,	BLÅ
Ananas,	Gul
Anchors,	Grå
Anchors Way,	Flerfärgat
Anil,	Rosa
Animal,	Flerfärgat
Animals on Board,	Flerfärgat
Anka,	Flerfärgat
Anthacite Black,	Svart
Anthracite,	Svart
Anthracite Black,	Svart
Anthrazit,	Svart
Antikrosa,	ROSA
Antique Creme,	Brun
Antique Silver,	Silver
Antracie,	Grå
Antracitgrå,	Grå
Apa,	Brun
Aprikos,	ROSA
Aqua,	BLÅ
Aqua Splash,	BLÅ
Aquarium,	BLÅ
Arabian Spice,	Orange
Arctic Blue,	BLÅ
Arctic Mix,	Beige
Army Jr,	Grön
Ash rose,	ROSA
Ashley Blue,	BLÅ
Ashley blue,	BLÅ
Aspen Gold,	Guld
Aspen gold,	Guld
Asphalt,	Grå
Astronaut,	Vit
Atomic blue,	BLÅ
Aubergine,	Violett
Authentic Black,	Svart
Authentic Cognac,	Brun
Authentic Graphite,	Grå
Authentic Grey,	Grå
Authentic Red,	Röd
Autumn Gold,	Guld
Aviator Black,	Svart
Avokado,	Grön
Awesome Doodles,	Flerfärgat
Azure,	BLÅ
BLACK,	Svart
BLACK/ANTHRACITE,	Svart
BLACK/ANTHRACITE-W,	Svart
BLACK/BLACK,	Svart
BLACK/BLACK-BLACK,	Svart
BLACK/METALLIC GOL,	Svart
BLACK/PURE PLATINU,	Svart
BLACK/TRUE WHITE,	Svart
BLACK/WHITE,	Svart
BLACK/WHITE-ANTHRA,	Svart
BLACK/WOLF GREY-DA,	Svart
Babba,	Brun
Baby Blue,	BLÅ
Baby Pink,	ROSA
Babyalbum,	Vit
Babyprint,	Flerfärgat
Babyrosa,	ROSA
Badger,	BLÅ
Baked Apple,	Röd
Ballerina,	ROSA
Ballerina på Scen,	BLÅ
Ballet,	ROSA
Ballong Grön,	Grön
Ballong Rosa,	ROSA
Balloon,	Beige
Bambi,	ROSA
Bamse,	Flerfärgat
Bamse Vit,	Vit
Bamse och Brummelisa,	Röd
Bamse och Lilleskutt,	Grön
Banana,	ROSA
Bananas,	Gul
Barely Pink,	ROSA
Barely pink,	ROSA
Barnrum,	Vit
Baroque Rose,	ROSA
Basfärger,	Flerfärgat
Basic,	Flerfärgat
Basket & Blanket,	Beige
Beach Buggy,	Vit
Bean bag,	Brun
Bear Trail,	Flerfärgat
Beech Wood,	Beige
Beet Red,	Röd
Beetle,	Röd
Beige,	Beige
Beige Melange,	Beige
Beige/Gul,	Gul
Beige/Vit,	Vit
Beigemelerad,	Beige
Bella Enhörning,	Vit
Benny the Cat,	Grå
Bernhard Bee,	Gul
Berry,	ROSA
Berry Pink,	ROSA
Berättelser, rim och sånger för de minsta,
Bi,	Flerfärgat
Bibbi,	Flerfärgat
Big Dot,	Flerfärgat
Big Dot Green,	Grön
Big Splash,	Svart
Bil,	Flerfärgat
Bilar,	Svart
Bilar Blå,	BLÅ
Birdsong,	Flerfärgat
Björn,	Flerfärgat
Björn Grå,	Grå
Björn Sea Blue,	BLÅ
Black,	Svart
Black Cab,	Svart
Black Carbon,	Svart
Black Chic,	Svart
Black Collar,	Svart
Black Diamond,	Svart
Black Dots,	Vit
Black Forest,	Grön
Black Ink,	Svart
Black Iris,	Svart
Black Jr,	Svart
Black Kettle,	Svart
Black Lime,	Grön
Black Melange,	Svart
Black Moon,	Svart
Black Of The Same Stripes,	Svart
Black Plum,	Svart
Black Shadow,	Svart
Black Spot On,	Svart
Black Sprinkles,	Svart
Black and White Stripe,	Svart
Black cab,	Svart
Black golden collection,	Svart
Black melange,	Svart
Black on Black,	Svart
Black-Black Melange,	Svart
Black-Navy Melange,	Svart
Black/Charcoal,	Svart
Black/Grey,	Svart
Black/Grey Melange,	Svart
Black/Light Grey,	Svart
Black/Lime,	Svart
Black/Super Blue,	Svart
Black/White,	Svart
Black/White Stripe,	Svart
Black/grey,	Svart
Blackberry Wine,	Svart
Blandade,	Flerfärgat
Blandade färger,	Flerfärgat
Blixten McQueen,	Röd
Blomma,	Flerfärgat
Blossom,	ROSA
Blossom Pink,	ROSA
Blu,	BLÅ
Blue,	BLÅ
Blue Bonnet,	BLÅ
Blue Deep,	BLÅ
Blue Denim,	BLÅ
Blue Fog,	BLÅ
Blue Fox,	BLÅ
Blue Haze,	BLÅ
Blue Heaven,	BLÅ
Blue Leo,	BLÅ
Blue Marble,	BLÅ
Blue Melange,	BLÅ
Blue Mini Bunny,	BLÅ
Blue Mix,	BLÅ
Blue Mountain,	BLÅ
Blue Night,	BLÅ
Blue Nights,	BLÅ
Blue Sapphire,	BLÅ
Blue Shadow,	BLÅ
Blue Sky,	BLÅ
Blue Surf,	BLÅ
Blue Wave,	BLÅ
Blue bonnet,	BLÅ
Blue denim,	BLÅ
Blue dream,	BLÅ
Blue grotto,	BLÅ
Blue haze,	BLÅ
Blue horizon,	BLÅ
Blue mix,	BLÅ
Blue nights,	BLÅ
Blue sapphire,	BLÅ
Blue surf,	BLÅ
Blue/Grey,	Grå
Blue/Reflective,	BLÅ
Blue/Silver,	BLÅ
Blue/Silver dots,	BLÅ
Blueberry,	Blåbär
Blueberry Milk,	Blåbär
Bluebird,	BLÅ
Bluebrid,	BLÅ
Bluejay,	BLÅ
Blueprint,	BLÅ
Blush,	ROSA
Blush Pink,	ROSA
Blush Rose,	ROSA
Blusher,	ROSA
Bläckfisk,	Vit
Blå,	BLÅ
Blå Bilar,	BLÅ
Blå Björn,	BLÅ
Blå Blue,	BLÅ
Blå Blue Sky,	BLÅ
Blå Camoflage,	BLÅ
Blå Deep Blue,	BLÅ
Blå Elefant,	BLÅ
Blå Hund,	BLÅ
Blå Kanin,	BLÅ
Blå Multiprick,	BLÅ
Blå Panda,	BLÅ
Blå Rand,	BLÅ
Blå Randig,	BLÅ
Blå Silverprickar,	BLÅ
Blå Slue Sky,	BLÅ
Blå Stjärna,	BLÅ
Blå Stjärnor,	BLÅ
Blå Turkos,	BLÅ
Blå Vallarta,	BLÅ
Blå box,	BLÅ
Blå flaska & napp,	BLÅ
Blå mix,	BLÅ
Blå/Creme,	BLÅ
Blå/Grå,	BLÅ
Blå/Grön,	BLÅ
Blå/Gul,	BLÅ
Blå/Natur/Grön,	BLÅ
Blå/Turkos,	BLÅ
Blå/Vit,	BLÅ
Blå/silver,	BLÅ
Blå/silver dots,	BLÅ
Blå/silverprickar,	BLÅ
Blåbär,	Blåbär
Boats on Blue,	BLÅ
Boats on waves,	BLÅ
Bobbo,	Röd
Bok,	Flerfärgat
Bok och kubpussel,	Flerfärgat
Bondgrådsdjur,	Flerfärgat
Bondgård,	Flerfärgat
Bondgården,	Flerfärgat
Bondgårdsdjur Rosa,	ROSA
Bone Brown,	Brun
Boost,	Flerfärgat
Bow Collection,	Rosa
Bowtie Stripe,	Grå
Brandied Apricot,	Grå
Brave Blue,	BLÅ
Breeze Blue,	BLÅ
Bright Green,	Grön
Bright White,	Vit
Bright White Cherries,	Vit
Bright salmon,	Rosa
Bright white,	Vit
Brilliant Black,	Svart
Brilliant White,	Vit
Brilliant black,	Svart
Bronze Brown,	Brun
Brown,	Brun
Brown Carbon,	Brun
Brown Melange,	Brun
Brun,	Brun
Brun/Orange,	Brun
Brun/Vit,	Brun
Brunch Terry,	Glu
Bubble Grum,	ROSA
Bubblegum,	ROSA
Bubblegum pink,	ROSA
Bubbles,	ROSA
Bubbly Sandy,	Beige
Build curve,	Flerfärgat
Build fold up,	Flerfärgat
Bunny/Dandelion,	Grön
Burgundy,	Violett
Burgundy Red,	Röd
Burlwood,	ROSA
Burned Clay,	Brun
Burned Clay Eye,	Brun
Burnished Lilac,	Lila
Burnt Russe,	Röd
Burnt Sienna,	Röd
Burnt henna,	Röd
Bush green,	Grön
Busiga Ögon,	Flerfärgat
Buttefly Bloom,	BLÅ
Butterfly Bloom,	BLÅ
Butterscotch,	Beige
CBLACK/FTWWHT/CBLA,	Svart
COLLEGIATE BURGUND,	Röd
CORE BLACK,	Svart
Cabernet,	Röd
Cactus Leaf,	Grön
Calypso Coral,	ROSA
Calypso coral,	ROSA
Calyso coral,	ROSA
Camel,	Beige
Cameo Rose,	Rosa
Camilla Lundsten,	Grön
Camo,	Grön
Camo green,	Grön
Campanula,	BLÅ
Candy Pink,	ROSA
Candy pink,	ROSA
Cantaloupe,	Gul
Canteloupe,	Gul
Car Family,	Grå
Car Wave Blue,	BLÅ
Caramel Puppy,	Beige
Caravan,	ROSA
Carbon,	BLÅ
Cars,	Flerfärgat
Cashmere Beige,	Beige
Cat,	ROSA
Cat Dark Rose,	ROSA
Cat Rose,	ROSA
Catboy,	BLÅ
Cathay Spice,	Brun
Cats,	Flerfärgat
Cave Camo,	BLÅ
Caviar,	Svart
Caviar Silver,	Silver
Celestial Blue,	BLÅ
Celestial Stars,	Grå
Cerise,	ROSA
Chaffinchs,	ROSA
Champagne,	Beige
Change the World,	Vit
Charcoal Black,	Svart
Charcoal Denim,	Svart
